Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
NEMRX	 Neuberger Berman Emerg Mkts Eq R3	 Diversified Emerging Mkts	 +19.84%	 +22.13%	 $0	 1.92%	  	4
NINDX	 Columbia Large Cap Index Z	 Large Blend	 +9.23%	 +17.66%	" $2,000"	 0.20%	  	4
NIPAX	 Columbia Capital Allocation Mod Cnsrv Z	 Allocation--30% to 50% Equity	 +5.74%	 +7.65%	" $2,000"	 0.79%	  	4
NLGAX	 Columbia Capital Allocation Mod Cnsrv A	 Allocation--30% to 50% Equity	 +5.63%	 +7.48%	" $2,000"	 1.04%	  	4
NMIMX	 Columbia Large Cap Enhanced Core Z	 Large Blend	 +9.40%	 +18.34%	" $2,000"	 0.64%	  	4
NMPAX	 Columbia Mid Cap Index Z	 Mid-Cap Blend	 +5.84%	 +18.33%	" $2,000"	 0.20%	  	4
NMSAX	 Columbia Small Cap Index A	 Small Blend	 +2.62%	 +22.00%	" $2,000"	 0.45%	  	4
NMUAX	 Neuberger Berman Multi-Cap Opp A	 Large Blend	 +11.55%	 +25.52%	" $1,000"	 1.11%	  	4
NREMX	 Neuberger Berman Emerg Mkts Eq R6	 Diversified Emerging Mkts	 +20.27%	 +23.00%	 $0	 1.19%	  	4
NSEPX	 Columbia Select Large Cap Equity Z	 Large Blend	 +11.37%	 +20.19%	" $2,000"	 0.90%	  	4
NSGAX	 Columbia Select Large Cap Equity A	 Large Blend	 +11.15%	 +19.95%	" $2,000"	 1.15%	  	4
NTIAX	 Columbia Mid Cap Index A	 Mid-Cap Blend	 +5.71%	 +17.97%	" $2,000"	 0.45%	  	4
NWGPX	 Nationwide HighMark Sm Cp Core A	 Small Blend	 +4.47%	 +25.82%	" $2,000"	 1.39%	  	4
OAKBX	 Oakmark Equity And Income Investor	 Allocation--50% to 70% Equity	 +5.92%	 +17.12%	" $1,000"	 0.79%	 NTF	4
OARBX	 Oakmark Equity And Income Service	 Allocation--50% to 70% Equity	 +5.75%	 +16.78%	 $0	 1.10%	  	4
ODMAX	 Oppenheimer Developing Markets A	 Diversified Emerging Mkts	 +18.60%	 +22.26%	" $1,000"	 1.32%	  	4
ODVCX	 Oppenheimer Developing Markets C	 Diversified Emerging Mkts	 +18.15%	 +21.34%	" $1,000"	 2.07%	  	4
ODVNX	 Oppenheimer Developing Markets R	 Diversified Emerging Mkts	 +18.47%	 +21.96%	" $1,000"	 1.57%	  	4
ODVYX	 Oppenheimer Developing Markets Y	 Diversified Emerging Mkts	 +18.74%	 +22.58%	 $0	 1.07%	  	4
OFIYX	 Oppenheimer Corporate Bond Y	 Corporate Bond	 +4.10%	 +2.97%	 $0	 0.76%	  	4
OGGCX	 JPMorgan Investor Growth C	 Allocation--85%+ Equity	 +9.34%	 +18.47%	 $500	 1.72%	  	4
OGIAX	 JPMorgan Investor Balanced A	 Allocation--50% to 70% Equity	 +6.26%	 +11.09%	 $500	 1.13%	 NTF	4
OICAX	 JPMorgan Investor Conservative Growth A	 Allocation--30% to 50% Equity	 +4.47%	 +6.92%	 $500	 1.08%	 NTF	4
OMECX	 JPMorgan Market Expansion Enh Idx C	 Small Blend	 +3.68%	 +18.58%	" $1,000"	 1.10%	  	4
ONECX	 JPMorgan Investor Growth & Income C	 Allocation--70% to 85% Equity	 +7.42%	 +14.17%	 $500	 1.74%	  	4
ONGIX	 JPMorgan Investor Growth & Income A	 Allocation--70% to 85% Equity	 +7.78%	 +14.82%	 $500	 1.16%	 NTF	4
OSCAX	 Oppenheimer Main Street Small Cap A	 Small Blend	 +6.76%	 +22.24%	" $1,000"	 1.25%	 NTF	4
OSCCX	 Oppenheimer Main Street Small Cap C	 Small Blend	 +6.40%	 +21.33%	" $1,000"	 2.01%	  	4
OSCNX	 Oppenheimer Main Street Small Cap R	 Small Blend	 +6.59%	 +21.86%	 $0	 1.51%	  	4
OSCYX	 Oppenheimer Main Street Small Cap Y	 Small Blend	 +6.95%	 +22.60%	 $0	 0.90%	  	4
PAADX	 Putnam Dynamic Asset Allocation Bal R5	 Allocation--50% to 70% Equity	 +6.73%	 +12.63%	 $0	 0.74%	  	4
PAAEX	 Putnam Dynamic Asset Allocation Bal R6	 Allocation--50% to 70% Equity	 +6.82%	 +12.77%	 $0	 0.64%	  	4
PAARX	 Putnam Dynamic Asset Allocation Bal R	 Allocation--50% to 70% Equity	 +6.50%	 +12.17%	 $0	 1.25%	  	4
PABAX	 Putnam Dynamic Asset Allocation Bal A	 Allocation--50% to 70% Equity	 +6.57%	 +12.39%	 $0	 1.00%	 NTF	4
PABMX	 Putnam Dynamic Asset Allocation Bal M	 Allocation--50% to 70% Equity	 +6.33%	 +11.87%	 $0	 1.50%	  	4
PABYX	 Putnam Dynamic Asset Allocation Bal Y	 Allocation--50% to 70% Equity	 +6.69%	 +12.63%	 $0	 0.75%	  	4
PAEAX	 Putnam Dynamic Asset Allocation Gr A	 Allocation--70% to 85% Equity	 +8.49%	 +16.44%	 $0	 1.11%	 NTF	4
PAECX	 Putnam Dynamic Asset Allocation Gr C	 Allocation--70% to 85% Equity	 +8.09%	 +15.54%	 $0	 1.86%	  	4
PAGMX	 Putnam Dynamic Asset Allocation Gr M	 Allocation--70% to 85% Equity	 +8.28%	 +15.88%	 $0	 1.61%	  	4
PAGYX	 Putnam Dynamic Asset Allocation Gr Y	 Allocation--70% to 85% Equity	 +8.60%	 +16.73%	 $0	 0.86%	  	4
PALRX	 Prudential Balanced R	 Allocation--50% to 70% Equity	 +5.59%	 +10.40%	 $0	 1.43%	  	4
PARMX	 Parnassus Mid-Cap	 Mid-Cap Blend	 +8.69%	 +16.31%	" $2,000"	 0.99%	 NTF	4
PASRX	 Putnam Dynamic Asset Allocation Gr R	 Allocation--70% to 85% Equity	 +8.40%	 +16.17%	 $0	 1.36%	  	4
PBBBX	 PIA BBB Bond	 Corporate Bond	 +4.46%	 +2.97%	" $1,000"	 0.15%	  	4
PBDCX	 PIMCO Investment Grade Corp Bd C	 Corporate Bond	 +4.58%	 +3.55%	" $1,000"	 1.65%	  	4
PCBFX	 Principal SAM Conservative Bal R5	 Allocation--30% to 50% Equity	 +5.37%	 +7.98%	 $0	 1.22%	  	4
PCBJX	 Principal SAM Conservative Bal J	 Allocation--30% to 50% Equity	 +5.44%	 +8.09%	" $1,000"	 1.16%	  	4
PCBLX	 Principal SAM Conservative Bal R4	 Allocation--30% to 50% Equity	 +5.31%	 +7.85%	 $0	 1.34%	  	4
PCBPX	 Principal SAM Conservative Bal R3	 Allocation--30% to 50% Equity	 +5.22%	 +7.63%	 $0	 1.53%	  	4
PCKAX	 PIMCO StocksPLUSÂ® Small A	 Small Blend	 +6.70%	 +30.05%	" $1,000"	 1.09%	  	4
PCKCX	 PIMCO StocksPLUSÂ® Small C	 Small Blend	 +6.37%	 +29.08%	" $1,000"	 1.84%	  	4
PCKDX	 PIMCO StocksPLUSÂ® Small D	 Small Blend	 +6.64%	 +29.98%	" $1,000"	 1.09%	 NTF	4
PCKRX	 PIMCO StocksPLUSÂ® Small R	 Small Blend	 +6.71%	 +29.74%	 $0	 1.34%	 NTF	4
PCNSX	 Principal SAM Conservative Bal R2	 Allocation--30% to 50% Equity	 +5.18%	 +7.57%	 $0	 1.71%	  	4
PCWIX	 Principal SAM Conservative Growth Inst	 Allocation--70% to 85% Equity	 +9.01%	 +14.00%	 $0	 1.08%	  	4
PCWPX	 Principal SAM Conservative Growth R5	 Allocation--70% to 85% Equity	 +8.87%	 +13.70%	 $0	 1.33%	  	4
PCWSX	 Principal SAM Conservative Growth R4	 Allocation--70% to 85% Equity	 +8.84%	 +13.62%	 $0	 1.45%	  	4
PEMAX	 Putnam Emerging Markets Equity M	 Diversified Emerging Mkts	 +18.48%	 +19.27%	 $0	 2.19%	  	4
PEMLX	 Putnam Emerging Markets Equity R	 Diversified Emerging Mkts	 +18.55%	 +19.55%	 $0	 1.94%	  	4
PEMMX	 Putnam Emerging Markets Equity A	 Diversified Emerging Mkts	 +18.60%	 +19.85%	 $0	 1.69%	 NTF	4
PEMYX	 Putnam Emerging Markets Equity Y	 Diversified Emerging Mkts	 +18.76%	 +20.19%	 $0	 1.44%	  	4
PEMZX	 Putnam Emerging Markets Equity C	 Diversified Emerging Mkts	 +18.20%	 +18.94%	 $0	 2.44%	  	4
PFIGX	 Principal SAM Flexible Income R1	 Allocation--15% to 30% Equity	 +3.64%	 +5.13%	 $0	 1.73%	  	4
PFIPX	 Principal SAM Flexible Income R3	 Allocation--15% to 30% Equity	 +3.79%	 +5.52%	 $0	 1.42%	  	4
PFIVX	 Principal SAM Flexible Income R2	 Allocation--15% to 30% Equity	 +3.79%	 +5.32%	 $0	 1.60%	  	4
PGBAX	 Principal Global Div Inc A	 Allocation--30% to 50% Equity	 +5.38%	 +8.57%	" $1,000"	 1.10%	 NTF	4
PGBLX	 Principal Global Div Inc R-6	 Allocation--30% to 50% Equity	 +5.58%	 +8.96%	 $0	 0.74%	  	4
PGDIX	 Principal Global Div Inc Instl	 Allocation--30% to 50% Equity	 +5.58%	 +8.96%	 $0	 0.77%	  	4
PGKTX	 Principal Global Div Inc T	 Allocation--30% to 50% Equity	 +5.44%	 +8.69%	" $1,000"	 1.10%	  	4
PIIIX	 Principal Diversified Intl Inst	 Foreign Large Blend	 +15.64%	 +18.92%	 $0	 0.85%	  	4
PISMX	 Principal International Sml Compny Instl	 Foreign Small/Mid Blend	 +17.57%	 +22.42%	 $0	 1.20%	  	4
PLFIX	 Principal Large Cap S&P 500 Index Inst	 Large Blend	 +9.29%	 +17.67%	 $0	 0.16%	  	4
PLOWX	 Perritt Low Priced Stock Investor	 Small Blend	 +5.50%	 +25.75%	" $1,000"	 1.40%	 NTF	4
PMACX	 Pioneer Multi-Asset Income C	 Allocation--30% to 50% Equity	 +9.24%	 +17.44%	" $1,000"	 2.06%	  	4
PMAPX	 Principal MidCap S&P 400 Index R-6	 Mid-Cap Blend	 +5.81%	 +18.12%	 $0	 0.17%	  	4
PMCDX	 Pacific Funds Port Optim Mod-Cnsrv Adv	 Allocation--30% to 50% Equity	 +5.64%	 +9.03%	 $0	 1.12%	  	4
PMFJX	 Principal MidCap S&P 400 Index J	 Mid-Cap Blend	 +5.75%	 +17.95%	" $1,000"	 0.49%	  	4
PMFMX	 Principal MidCap S&P 400 Index R3	 Mid-Cap Blend	 +5.56%	 +17.66%	 $0	 0.73%	  	4
PMFNX	 Principal MidCap S&P 400 Index R2	 Mid-Cap Blend	 +5.48%	 +17.42%	 $0	 0.91%	  	4
PMFPX	 Principal MidCap S&P 400 Index R5	 Mid-Cap Blend	 +5.70%	 +17.96%	 $0	 0.42%	  	4
PMFSX	 Principal MidCap S&P 400 Index R4	 Mid-Cap Blend	 +5.69%	 +17.87%	 $0	 0.54%	  	4
PMYAX	 Putnam Multi-Cap Core A	 Large Blend	 +8.29%	 +23.75%	 $0	 1.04%	 NTF	4
PMYMX	 Putnam Multi-Cap Core M	 Large Blend	 +8.05%	 +23.21%	 $0	 1.54%	  	4
PMYYX	 Putnam Multi-Cap Core Y	 Large Blend	 +8.48%	 +24.09%	 $0	 0.79%	  	4
PMYZX	 Putnam Multi-Cap Core R	 Large Blend	 +8.15%	 +23.51%	 $0	 1.29%	  	4
POAAX	 Pacific Funds Port Optim Cnsrv A	 Allocation--15% to 30% Equity	 +4.28%	 +6.04%	" $1,000"	 1.32%	  	4
PRBLX	 Parnassus Core Equity Investor 	 Large Blend	 +6.91%	 +14.22%	" $2,000"	 0.87%	 NTF	4
PREGX	 Putnam RetirementReady 2035 R6	 Target-Date 2035	 +7.10%	 +13.47%	 $0	 0.71%	  	4
PREHX	 Putnam RetirementReady 2040 R6	 Target-Date 2040	 +7.87%	 +15.19%	 $0	 0.72%	  	4
PREKX	 Putnam RetirementReady 2045 R6	 Target-Date 2045	 +8.43%	 +16.29%	 $0	 0.71%	  	4
PREUX	 Putnam RetirementReady 2050 R6	 Target-Date 2050	 +8.63%	 +16.84%	 $0	 0.70%	  	4
PRRJX	 Putnam RetirementReady 2050 A	 Target-Date 2050	 +8.45%	 +16.48%	 $0	 1.13%	 NTF	4
PRRUX	 Putnam RetirementReady 2050 Y	 Target-Date 2050	 +8.64%	 +16.80%	 $0	 0.88%	  	4
PRRVX	 Putnam RetirementReady 2055 R	 Target-Date 2055	 +8.51%	 +16.53%	 $0	 1.37%	  	4
PRRYX	 Putnam RetirementReady 2035 Y	 Target-Date 2035	 +7.03%	 +13.36%	 $0	 0.87%	  	4
PRVLX	 Putnam RetirementReady 2045 A	 Target-Date 2045	 +8.24%	 +15.87%	 $0	 1.13%	 NTF	4
PRVYX	 Putnam RetirementReady 2045 Y	 Target-Date 2045	 +8.35%	 +16.18%	 $0	 0.88%	  	4
PRZZX	 Putnam RetirementReady 2040 Y	 Target-Date 2040	 +7.88%	 +15.12%	 $0	 0.90%	  	4
PSAPX	 Principal SmallCap S&P 600 Index R1	 Small Blend	 +2.30%	 +21.26%	 $0	 1.04%	  	4
PSBIX	 Principal SAM Balanced Inst	 Allocation--50% to 70% Equity	 +7.06%	 +10.92%	 $0	 1.02%	  	4
PSFFX	 PNC S&P 500 Index R5	 Large Blend	 +9.10%	 +17.59%	 $0	 0.25%	  	4
PSGFX	 Principal SAM Strategic Growth R5	 Allocation--85%+ Equity	 +10.04%	 +14.95%	 $0	 1.32%	  	4
PSGLX	 Principal SAM Strategic Growth R4	 Allocation--85%+ Equity	 +10.01%	 +14.86%	 $0	 1.44%	  	4
PSGPX	 Principal SAM Strategic Growth R3	 Allocation--85%+ Equity	 +9.90%	 +14.59%	 $0	 1.63%	  	4
PSOCX	 PIMCO StocksPLUSÂ® Absolute Return C	 Large Blend	 +10.04%	 +20.48%	" $1,000"	 1.79%	  	4
PSPEX	 PNC S&P 500 Index R4	 Large Blend	 +9.12%	 +17.53%	 $0	 0.35%	  	4
PSPIX	 Principal SmallCap S&P 600 Index R-6	 Small Blend	 +2.70%	 +22.11%	 $0	 0.17%	  	4
PSSJX	 Principal SmallCap S&P 600 Index J	 Small Blend	 +2.59%	 +21.93%	" $1,000"	 0.46%	  	4
PSSMX	 Principal SmallCap S&P 600 Index R3	 Small Blend	 +2.46%	 +21.62%	 $0	 0.73%	  	4
PSSNX	 Principal SmallCap S&P 600 Index R2	 Small Blend	 +2.36%	 +21.45%	 $0	 0.91%	  	4
PSSPX	 Principal SmallCap S&P 600 Index R5	 Small Blend	 +2.61%	 +22.00%	 $0	 0.42%	  	4
PSSSX	 Principal SmallCap S&P 600 Index R4	 Small Blend	 +2.55%	 +21.84%	 $0	 0.54%	  	4
PSTDX	 PIMCO StocksPLUSÂ® Absolute Return D	 Large Blend	 +10.46%	 +21.33%	" $1,000"	 1.04%	 NTF	4
PSWIX	 Principal SAM Strategic Growth Inst	 Allocation--85%+ Equity	 +10.19%	 +15.27%	 $0	 1.07%	  	4
PSWJX	 Principal SAM Strategic Growth J	 Allocation--85%+ Equity	 +10.12%	 +15.02%	" $1,000"	 1.28%	  	4
PSXIX	 PNC S&P 500 Index I	 Large Blend	 +9.17%	 +17.65%	 $0	 0.20%	  	4
PTOAX	 PIMCO StocksPLUSÂ® Absolute Return A	 Large Blend	 +10.59%	 +21.32%	" $1,000"	 1.04%	  	4
PTORX	 PIMCO StocksPLUSÂ® Absolute Return R	 Large Blend	 +10.45%	 +21.07%	 $0	 1.29%	 NTF	4
PURYX	 Putnam Research Y	 Large Blend	 +11.55%	 +20.59%	 $0	 0.92%	  	4
PVSAX	 Putnam Capital Spectrum A	 Allocation--70% to 85% Equity	 +12.93%	 +21.45%	 $0	 1.37%	 NTF	4
PVSCX	 Putnam Capital Spectrum C	 Allocation--70% to 85% Equity	 +12.50%	 +20.52%	 $0	 2.12%	  	4
PVSMX	 Putnam Capital Spectrum M	 Allocation--70% to 85% Equity	 +12.64%	 +20.81%	 $0	 1.87%	  	4
PVSRX	 Putnam Capital Spectrum R	 Allocation--70% to 85% Equity	 +12.79%	 +21.10%	 $0	 1.62%	  	4
PVSYX	 Putnam Capital Spectrum Y	 Allocation--70% to 85% Equity	 +13.06%	 +21.74%	 $0	 1.12%	  	4
PWCIX	 Principal Capital Appreciation Inst	 Large Blend	 +8.78%	 +15.76%	 $0	 0.47%	  	4
PXSCX	 Pax Small Cap Individual Investor	 Small Blend	 +0.58%	 +13.21%	" $1,000"	 1.19%	 NTF	4
QASCX	 Federated MDT Small Cap Core A	 Small Blend	 +4.96%	 +31.94%	" $1,500"	 1.14%	 NTF	4
QLSCX	 Federated MDT Small Cap Core R6	 Small Blend	 +5.09%	 +32.30%	 $0	 0.88%	  	4
RADTX	 American Funds 2025 Trgt Date Retire R1	 Target-Date 2025	 +7.02%	 +9.57%	 $250	 1.53%	  	4
RAETX	 American Funds 2030 Trgt Date Retire R1	 Target-Date 2030	 +8.57%	 +12.29%	 $250	 1.55%	  	4
RAFTX	 American Funds 2035 Trgt Date Retire R1	 Target-Date 2035	 +9.72%	 +14.20%	 $250	 1.55%	  	4
RAHTX	 American Funds 2045 Trgt Date Retire R1	 Target-Date 2045	 +10.28%	 +15.28%	 $250	 1.57%	  	4
RAICX	 American Funds Growth and Inc Port R3	 Allocation--70% to 85% Equity	 +9.30%	 +12.51%	 $250	 1.06%	  	4
RAITX	 American Funds 2050 Trgt Date Retire R1	 Target-Date 2050	 +10.29%	 +15.43%	 $250	 1.57%	  	4
RAKTX	 American Funds 2040 Trgt Date Retire R1	 Target-Date 2040	 +10.08%	 +14.88%	 $250	 1.57%	  	4
RAMTX	 American Funds 2055 Trgt Date Retire R1	 Target-Date 2055	 +10.27%	 +15.44%	 $250	 1.59%	  	4
RBACX	 American Funds Balanced Portfolio R3	 Allocation--50% to 70% Equity	 +8.46%	 +10.73%	 $250	 1.07%	  	4
RBAEX	 American Funds Balanced Portfolio R4	 Allocation--50% to 70% Equity	 +8.67%	 +11.04%	 $250	 0.76%	  	4
RBAFX	 American Funds Balanced Portfolio R5	 Allocation--50% to 70% Equity	 +8.87%	 +11.40%	 $250	 0.46%	  	4
RBAGX	 American Funds Balanced Portfolio R6	 Allocation--50% to 70% Equity	 +8.89%	 +11.46%	 $250	 0.40%	  	4
RBBBX	 Columbia Income Builder B	 Allocation--15% to 30% Equity	 +3.54%	 +7.18%	" $2,000"	 1.76%	  	4
RBBCX	 Columbia Income Builder C	 Allocation--15% to 30% Equity	 +3.54%	 +7.19%	" $2,000"	 1.76%	  	4
RBBEX	 American Funds Balanced Portfolio R2E	 Allocation--50% to 70% Equity	 +8.46%	 +10.61%	 $250	 1.20%	  	4
RBDTX	 American Funds 2025 Trgt Date Retire R2	 Target-Date 2025	 +7.05%	 +9.59%	 $250	 1.48%	  	4
RBEDX	 American Funds 2025 Trgt Date Retire R2E	 Target-Date 2025	 +7.26%	 +10.00%	 $250	 1.18%	  	4
RBEGX	 American Funds Growth and Inc Port R2E	 Allocation--70% to 85% Equity	 +9.19%	 +12.35%	 $250	 1.19%	  	4
RBETX	 American Funds 2030 Trgt Date Retire R2	 Target-Date 2030	 +8.54%	 +12.22%	 $250	 1.50%	  	4
RBFTX	 American Funds 2035 Trgt Date Retire R2	 Target-Date 2035	 +9.69%	 +14.22%	 $250	 1.51%	  	4
RBHTX	 American Funds 2045 Trgt Date Retire R2	 Target-Date 2045	 +10.24%	 +15.32%	 $250	 1.53%	  	4
RBITX	 American Funds 2050 Trgt Date Retire R2	 Target-Date 2050	 +10.29%	 +15.43%	 $250	 1.53%	  	4
RBKTX	 American Funds 2040 Trgt Date Retire R2	 Target-Date 2040	 +10.10%	 +14.90%	 $250	 1.52%	  	4
RBMTX	 American Funds 2055 Trgt Date Retire R2	 Target-Date 2055	 +10.27%	 +15.42%	 $250	 1.54%	  	4
RCBAX	 American Funds Corporate Bond R1	 Corporate Bond	 +3.44%	 +1.60%	 $250	 1.60%	  	4
RCBBX	 American Funds Corporate Bond R2	 Corporate Bond	 +3.26%	 +1.33%	 $250	 1.82%	  	4
RCBCX	 American Funds Corporate Bond R3	 Corporate Bond	 +3.41%	 +1.59%	 $250	 1.42%	  	4
RCBDX	 American Funds Corporate Bond R4	 Corporate Bond	 +3.56%	 +1.80%	 $250	 0.89%	  	4
RCBEX	 American Funds Corporate Bond R5	 Corporate Bond	 +3.67%	 +1.91%	 $250	 0.60%	  	4
RCBFX	 American Funds Corporate Bond R6	 Corporate Bond	 +3.64%	 +1.86%	 $250	 0.57%	  	4
RCBGX	 American Funds Corporate Bond R2E	 Corporate Bond	 +3.70%	 +1.91%	 $250	 1.42%	  	4
RCBHX	 American Funds Corporate Bond R5E	 Corporate Bond	 +3.71%	 +1.95%	 $250	 0.73%	  	4
RCDTX	 American Funds 2025 Trgt Date Retire R3	 Target-Date 2025	 +7.33%	 +10.13%	 $250	 1.06%	  	4
RDATX	 American Funds 2010 Trgt Date Retire R4	 Target-Date 2000-2010	 +5.02%	 +6.60%	 $250	 0.71%	  	4
RDBTX	 American Funds 2015 Trgt Date Retire R4	 Target-Date 2015	 +5.41%	 +7.30%	 $250	 0.71%	  	4
RDCTX	 American Funds 2020 Trgt Date Retire R4	 Target-Date 2020	 +6.30%	 +8.56%	 $250	 0.73%	  	4
RDDTX	 American Funds 2025 Trgt Date Retire R4	 Target-Date 2025	 +7.45%	 +10.46%	 $250	 0.75%	  	4
REBHX	 State Farm Equity & Bond R3	 Allocation--50% to 70% Equity	 +6.44%	 +9.65%	 $0	 0.77%	  	4
REBTX	 State Farm Equity & Bond R2	 Allocation--50% to 70% Equity	 +6.28%	 +9.32%	 $0	 1.07%	  	4
RFEBX	 American Funds Fundamental Invs R2E	 Large Blend	 +9.67%	 +18.49%	 $250	 1.10%	  	4
RFNCX	 American Funds Fundamental Invs R3	 Large Blend	 +9.75%	 +18.66%	 $250	 0.96%	  	4
RFNEX	 American Funds Fundamental Invs R4	 Large Blend	 +9.93%	 +19.03%	 $250	 0.66%	  	4
RFNHX	 American Funds Fundamental Invs R5E	 Large Blend	 +10.02%	 +19.21%	 $250	 0.57%	  	4
RGNEX	 American Funds Growth and Inc Port R4	 Allocation--70% to 85% Equity	 +9.49%	 +12.88%	 $250	 0.75%	  	4
RGNFX	 American Funds Growth and Inc Port R5	 Allocation--70% to 85% Equity	 +9.61%	 +13.17%	 $250	 0.45%	  	4
RGNGX	 American Funds Growth and Inc Port R6	 Allocation--70% to 85% Equity	 +9.64%	 +13.24%	 $250	 0.39%	  	4
RGPFX	 American Funds Balanced Portfolio R5E	 Allocation--50% to 70% Equity	 +8.75%	 +11.31%	 $250	 0.56%	  	4
RGQFX	 American Funds Growth and Inc Port R5E	 Allocation--70% to 85% Equity	 +9.64%	 +13.13%	 $250	 0.55%	  	4
RICFX	 American Funds Invmt Co of Amer R5	 Large Blend	 +8.33%	 +16.00%	 $250	 0.35%	  	4
RICGX	 American Funds Invmt Co of Amer R6	 Large Blend	 +8.35%	 +16.08%	 $250	 0.30%	  	4
RIDCX	 American Funds Income Fund of Amer R3	 Allocation--70% to 85% Equity	 +5.46%	 +9.13%	 $250	 0.92%	  	4
RIDEX	 American Funds Income Fund of Amer R4	 Allocation--70% to 85% Equity	 +5.61%	 +9.44%	 $250	 0.62%	  	4
RIDFX	 American Funds Income Fund of Amer R5	 Allocation--70% to 85% Equity	 +5.75%	 +9.79%	 $250	 0.33%	  	4
RIDHX	 American Funds Income Fund of Amer R5E	 Allocation--70% to 85% Equity	 +5.69%	 +9.62%	 $250	 0.49%	  	4
RIEBX	 American Funds Income Fund of Amer R2E	 Allocation--70% to 85% Equity	 +5.36%	 +8.95%	 $250	 1.09%	  	4
RINTX	 Russell Inv International Devd Mkts S	 Foreign Large Blend	 +13.48%	 +20.83%	 $0	 0.97%	  	4
RLBAX	 American Funds American Balanced R1	 Allocation--50% to 70% Equity	 +6.26%	 +9.52%	 $250	 1.38%	  	4
RLBBX	 American Funds American Balanced R2	 Allocation--50% to 70% Equity	 +6.23%	 +9.52%	 $250	 1.37%	  	4
RLIAX	 Invesco Income Allocation R	 Allocation--30% to 50% Equity	 +4.39%	 +6.72%	 $0	 1.08%	  	4
RLNAX	 Russell Inv International Devd Mkts A	 Foreign Large Blend	 +13.37%	 +20.54%	 $0	 1.26%	  	4
RSGSX	 Russell Inv US Dynamic Equity S	 Large Blend	 +7.57%	 +25.74%	 $0	 1.07%	  	4
RSMAX	 RBC Emerging Markets Small Cap Eq A	 Diversified Emerging Mkts	 +15.38%	 +12.57%	" $1,000"	 1.89%	 NTF	4
SACAX	 Principal SAM Strategic Growth A	 Allocation--85%+ Equity	 +10.02%	 +14.88%	" $1,000"	 1.44%	 NTF	4
SAGPX	 Principal SAM Conservative Growth A	 Allocation--70% to 85% Equity	 +8.88%	 +13.65%	" $1,000"	 1.42%	 NTF	4
SAIPX	 Principal SAM Conservative Bal A	 Allocation--30% to 50% Equity	 +5.37%	 +7.99%	" $1,000"	 1.31%	 NTF	4
SBCEX	 Dreyfus Diversified Emerging Markets I	 Diversified Emerging Mkts	 +21.23%	 +23.84%	" $1,000"	 1.62%	  	4
SBSDX	 QS S&P 500 Index D	 Large Blend	 +9.16%	 +17.49%	 $0	 0.39%	  	4
SCCTX	 RidgeWorth Conservative Allc Strat I	 Allocation--30% to 50% Equity	 +4.92%	 +5.44%	 $0	 0.76%	  	4
SCETX	 RidgeWorth Ceredex Small Cap Value Eq I	 Small Blend	 -1.09%	 +11.36%	 $0	 1.21%	  	4
SCIEX	 Hartford Schroders International Stk I	 Foreign Large Blend	 +16.26%	 +19.26%	" $2,000"	 0.95%	  	4
SCVEX	 Hartford Schroders International Stk A	 Foreign Large Blend	 +16.10%	 +18.92%	" $2,000"	 1.20%	 NTF	4
SEBIX	 State Farm Equity & Bond Instl	 Allocation--50% to 70% Equity	 +6.39%	 +9.70%	" $1,000"	 0.70%	  	4
SEBLX	 Sentinel Balanced A	 Allocation--50% to 70% Equity	 +7.14%	 +11.51%	" $1,000"	 1.03%	 NTF	4
SECMX	 Sentinel Multi-Asset Income A	 Allocation--15% to 30% Equity	 +3.68%	 +4.85%	" $1,000"	 1.20%	 NTF	4
SEMNX	 Hartford Schroders Emerging Mkts Eq I	 Diversified Emerging Mkts	 +20.49%	 +26.19%	" $2,000"	 1.27%	  	4
SEMVX	 Hartford Schroders Emerging Mkts Eq A	 Diversified Emerging Mkts	 +20.27%	 +25.76%	" $2,000"	 1.45%	 NTF	4
SENCX	 Sentinel Common Stock A	 Large Blend	 +10.17%	 +18.41%	" $1,000"	 1.00%	 NTF	4
SFSNX	 Schwab Fundamental US Small Company Idx	 Small Blend	 +2.61%	 +19.83%	 $0	 0.25%	  	4
SHAPX	 ClearBridge Appreciation A	 Large Blend	 +8.15%	 +13.40%	" $1,000"	 1.00%	 NTF	4
SKSEX	 AMG Managers Skyline Special Equities N	 Small Blend	 +1.55%	 +23.26%	" $2,000"	 1.18%	 NTF	4
SLBAX	 State Farm Equity & Bond Premier	 Allocation--50% to 70% Equity	 +6.45%	 +9.70%	" $1,000"	 0.85%	  	4
SMARX	 Brandes Separately Managed Acct Res Tr	 Corporate Bond	 +3.15%	 +6.07%	 $0	 0.00%	  	4
SMCPX	 ClearBridge Mid Cap 1	 Mid-Cap Blend	 +6.38%	 +19.68%	 $0	 0.92%	  	4
SMLKX	 Shelton S&P Smallcap Index K	 Small Blend	 +2.65%	 +20.49%	" $1,000"	 1.24%	  	4
SMTAX	 JPMorgan SmartRetirementÂ® 2040 A 	 Target-Date 2040	 +10.20%	 +15.94%	 $500	 0.90%	 NTF	4
SMTIX	 JPMorgan SmartRetirementÂ® 2040 R5	 Target-Date 2040	 +10.32%	 +16.22%	 $0	 0.68%	  	4
